molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL360307,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)c2ccccc2C(=O)NCc2ccc(-c3cccs3)s2)cc1,intermediate,587.7480000000003,5.651000000000005,3.0,6.0,5.657577319177793
CHEMBL183380,NS(=O)(=O)c1ccccc1-c1ccc(CNC(=O)c2cccc(C(=O)NCc3ccc(-c4cccs4)s3)c2)cc1,intermediate,587.7480000000003,5.651000000000004,3.0,6.0,5.5376020021010435
CHEMBL359815,CC(NC(=O)[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc(-c2cccs2)s1,inactive,593.7960000000003,5.700900000000004,3.0,6.0,5.0
CHEMBL179838,CN(Cc1ccc(-c2cccs2)s1)C(=O)[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2ccccc2S(N)(=O)=O)cc1,intermediate,593.7960000000003,5.482100000000004,2.0,6.0,5.275724130399211
CHEMBL362660,CC(NC(=O)[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2cccs2)s1)c1ccc(-c2ccccc2S(N)(=O)=O)cc1,intermediate,593.7960000000002,5.700900000000004,3.0,6.0,5.853871964321762
CHEMBL369537,CN(Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(=O)[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2cccs2)s1,active,593.7960000000004,5.482100000000005,2.0,6.0,6.119186407719209
CHEMBL362684,CC(NC(=O)[C@H]1CCC[C@@H]1C(=O)N(C)Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1ccc(-c2cccs2)s1,inactive,607.8230000000003,6.043100000000006,2.0,6.0,5.0
CHEMBL181307,CN(Cc1ccc(-c2ccccc2S(N)(=O)=O)cc1)C(=O)[C@H]1CCC[C@@H]1C(=O)N(C)Cc1ccc(-c2cccs2)s1,inactive,607.8230000000004,5.824300000000006,1.0,6.0,5.0
CHEMBL361961,O=C(NCc1ccc(-c2cccs2)s1)[C@H]1CCC[C@@H]1NCc1ccc(F)cc1,inactive,414.5710000000002,5.190400000000004,2.0,4.0,5.0
CHEMBL180790,O=C(NCc1ccc(-c2cccs2)s1)[C@H]1CCC[C@@H]1NCc1ccc(Br)cc1,inactive,475.4770000000002,5.813800000000004,2.0,4.0,5.0
CHEMBL362854,COc1ccc(CN[C@H]2CCC[C@@H]2C(=O)NCc2ccc(-c3cccs3)s2)cc1,inactive,426.607,5.059900000000004,2.0,5.0,5.0
CHEMBL180031,O=C(NCc1ccc(-c2cccs2)s1)[C@H]1CCC[C@@H]1NCc1cccc(C(F)(F)F)c1,intermediate,464.5780000000002,6.070100000000004,2.0,4.0,5.5376020021010435
CHEMBL180387,CS(=O)(=O)c1ccccc1C#CCN[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2cccs2)s1,inactive,498.6950000000002,4.306300000000003,2.0,6.0,5.0
CHEMBL433955,CS(=O)(=O)c1ccccc1/C=C/CN[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2cccs2)s1,inactive,500.7110000000002,4.968000000000004,2.0,6.0,5.0
CHEMBL428613,CS(=O)(=O)c1ccccc1CCCN[C@H]1CCC[C@@H]1C(=O)NCc1ccc(-c2cccs2)s1,inactive,502.7270000000002,4.887400000000004,2.0,6.0,5.0
CHEMBL360523,O=C(NCc1ccc(-c2cccs2)s1)[C@H]1CCC[C@@H]1NCc1ccc(-c2ccccc2)cc1,inactive,472.67900000000026,6.7183000000000055,2.0,4.0,5.0
CHEMBL183618,Cc1ccccc1-c1ccc(CN[C@H]2CCC[C@@H]2C(=O)NCc2ccc(-c3cccs3)s2)cc1,intermediate,486.7060000000001,7.026720000000005,2.0,4.0,5.6777807052660805
CHEMBL182686,CS(=O)(=O)c1ccccc1-c1ccc(CN[C@H]2CCC[C@@H]2C(=O)NCc2ccc(-c3cccs3)s2)cc1,active,550.7710000000003,6.121800000000007,2.0,6.0,6.585026652029182
